Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,215,United Republic of Tanzania,2012,2012,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,135.72,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2013,2013,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,151.879,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2014,2014,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,161.018,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2015,2015,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,91.24562526,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2016,2016,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,100.99,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2017,2017,23013,"Consumer Prices, Food Indices (2010 = 100)",7001,January,,108.6844448,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2012,2012,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,138.47,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2013,2013,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,155.146,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2014,2014,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,164.833,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2015,2015,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,93.4184818,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2016,2016,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,102.25,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2017,2017,23013,"Consumer Prices, Food Indices (2010 = 100)",7002,February,,111.155527,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2012,2012,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,139.47,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2013,2013,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,154.951,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2014,2014,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,166.141,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2015,2015,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,95.06963928,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2016,2016,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,102.92,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2017,2017,23013,"Consumer Prices, Food Indices (2010 = 100)",7003,March,,114.2771511,X,"International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)",2015M12
CP,Consumer Price Indices,215,United Republic of Tanzania,2012,2012,23013,"Consumer Prices, Food Indices (2010 = 100)",7004,April,,140.63,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2013,2013,23013,"Consumer Prices, Food Indices (2010 = 100)",7004,April,,154.941,,Official data,2010M9
CP,Consumer Price Indices,215,United Republic of Tanzania,2014,2014,23013,"Consumer Prices, Food Indices (2010 = 100)",7004,April,,166.99,,Official data,2010M9
