Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2000,2000,LCU,314000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2001,2001,LCU,741000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2002,2002,LCU,314000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2003,2003,LCU,413000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2004,2004,LCU,420000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2005,2005,LCU,416189.3,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2006,2006,LCU,727000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2007,2007,LCU,574000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2008,2008,LCU,907000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2009,2009,LCU,1071000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2010,2010,LCU,1050000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2011,2011,LCU,1082413.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2012,2012,LCU,1277273.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2013,2013,LCU,1419156.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2014,2014,LCU,1379613,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),414,"Beans, green",2015,2015,LCU,1280637.6,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),414,"Beans, green",2000,2000,USD,392.3,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),414,"Beans, green",2001,2001,USD,845.5,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),414,"Beans, green",2002,2002,USD,324.9,,Official data
