Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1961,1961,hg/ha,26121,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1962,1962,hg/ha,25969,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1963,1963,hg/ha,26000,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1964,1964,hg/ha,25954,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1965,1965,hg/ha,25954,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1966,1966,hg/ha,25965,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1967,1967,hg/ha,25948,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1968,1968,hg/ha,26028,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1969,1969,hg/ha,25989,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1970,1970,hg/ha,26000,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1971,1971,hg/ha,26087,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1972,1972,hg/ha,26000,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1973,1973,hg/ha,25965,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1974,1974,hg/ha,26066,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1975,1975,hg/ha,26000,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1976,1976,hg/ha,25906,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1977,1977,hg/ha,25958,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1978,1978,hg/ha,26064,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1979,1979,hg/ha,26071,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1980,1980,hg/ha,25965,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1981,1981,hg/ha,26087,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1982,1982,hg/ha,25997,Fc,Calculated data
QC,Crops,215,United Republic of Tanzania,5419,Yield,486,Bananas,1983,1983,hg/ha,25983,Fc,Calculated data
